hap_seq habitat Form
ind139_h2 deciduous_forest S
ind140_h1 mangrove_swamp M
ind140_h2 mangrove_swamp M
ind141_h1 deciduous_forest M
ind141_h2 deciduous_forest M
ind142_h1 deciduous_forest M
ind142_h2 deciduous_forest M
ind143_h1 coastal_savannah S
ind143_h2 coastal_savannah S
ind144_h1 deciduous_forest S
ind144_h2 deciduous_forest S
ind145_h1 deciduous_forest M
ind145_h2 deciduous_forest M
ind146_h1 coastal_savannah S
ind146_h2 coastal_savannah S
ind147_h1 deciduous_forest M
ind147_h2 deciduous_forest M
ind148_h1 deciduous_forest S
ind148_h2 deciduous_forest S
ind149_h1 rainforest M
ind149_h2 rainforest M
ind150_h1 rainforest M
ind150_h2 rainforest M
ind151_h1 deciduous_forest S
ind151_h2 deciduous_forest S
ind152_h1 rainforest M
ind152_h2 rainforest M
ind153_h1 deciduous_forest S
ind153_h2 deciduous_forest S
ind154_h1 rainforest S
ind154_h2 rainforest S
ind155_h1 deciduous_forest S
ind155_h2 deciduous_forest S
ind156_h1 coastal_savannah M
ind156_h2 coastal_savannah M
ind157_h1 deciduous_forest S
ind157_h2 deciduous_forest S
ind158_h1 deciduous_forest S
ind158_h2 deciduous_forest S
ind159_h1 deciduous_forest M
ind159_h2 deciduous_forest M
ind160_h1 rainforest S
ind160_h2 rainforest S
ind161_h1 coastal_savannah M
ind161_h2 coastal_savannah M
ind162_h1 deciduous_forest S
ind162_h2 deciduous_forest S
ind163_h1 deciduous_forest S
ind163_h2 deciduous_forest S
ind164_h1 coastal_savannah M
ind164_h2 coastal_savannah M
ind165_h1 deciduous_forest S
ind165_h2 deciduous_forest S
ind166_h1 deciduous_forest S
ind166_h2 deciduous_forest S
ind167_h1 coastal_savannah M
ind167_h2 coastal_savannah M
ind168_h1 coastal_savannah S
ind168_h2 coastal_savannah S
ind169_h1 deciduous_forest M
ind169_h2 deciduous_forest M
ind170_h1 deciduous_forest S
ind170_h2 deciduous_forest S
ind171_h1 coastal_savannah M
ind171_h2 coastal_savannah M
ind172_h1 deciduous_forest M
ind172_h2 deciduous_forest M
ind173_h1 coastal_savannah S
ind173_h2 coastal_savannah S
ind174_h1 deciduous_forest M
ind174_h2 deciduous_forest M
ind175_h1 deciduous_forest S
ind175_h2 deciduous_forest S
ind176_h1 rainforest M
ind176_h2 rainforest M
ind177_h1 rainforest M
ind177_h2 rainforest M
ind178_h1 deciduous_forest S
ind178_h2 deciduous_forest S
ind179_h1 coastal_savannah S
ind179_h2 coastal_savannah S
ind180_h1 deciduous_forest S
ind180_h2 deciduous_forest S
ind181_h1 rainforest M
ind181_h2 rainforest M
ind182_h1 deciduous_forest S
ind182_h2 deciduous_forest S
ind183_h1 deciduous_forest M
ind183_h2 deciduous_forest M
ind184_h1 deciduous_forest M
ind184_h2 deciduous_forest M
ind185_h1 rainforest S
ind185_h2 rainforest S
ind186_h1 rainforest S
ind186_h2 rainforest S
ind187_h1 mangrove_swamp M
ind187_h2 mangrove_swamp M
ind188_h1 deciduous_forest S
ind188_h2 deciduous_forest S
ind189_h1 coastal_savannah S
ind189_h2 coastal_savannah S
ind190_h1 mangrove_swamp M
ind190_h2 mangrove_swamp M
ind191_h1 rainforest M
ind191_h2 rainforest M
ind192_h1 deciduous_forest M
ind192_h2 deciduous_forest M
ind193_h1 deciduous_forest S
ind193_h2 deciduous_forest S
ind194_h1 rainforest M
ind194_h2 rainforest M
ind195_h1 deciduous_forest S
ind195_h2 deciduous_forest S
ind196_h1 deciduous_forest M
ind196_h2 deciduous_forest M
ind197_h1 deciduous_forest M
ind197_h2 deciduous_forest M
ind198_h1 mangrove_swamp M
ind198_h2 mangrove_swamp M
ind199_h1 deciduous_forest M
ind199_h2 deciduous_forest M
ind200_h1 coastal_savannah M
ind200_h2 coastal_savannah M
ind201_h1 deciduous_forest M
ind201_h2 deciduous_forest M
ind202_h1 coastal_savannah S
ind202_h2 coastal_savannah S
ind203_h1 deciduous_forest S
ind203_h2 deciduous_forest S
ind204_h1 deciduous_forest S
ind204_h2 deciduous_forest S
ind205_h1 coastal_savannah S
ind205_h2 coastal_savannah S
ind206_h1 deciduous_forest M
ind206_h2 deciduous_forest M
ind207_h1 coastal_savannah S
ind207_h2 coastal_savannah S
ind208_h1 deciduous_forest S
ind208_h2 deciduous_forest S
ind209_h1 deciduous_forest M
ind209_h2 deciduous_forest M
ind210_h1 coastal_savannah S
ind210_h2 coastal_savannah S
ind211_h1 deciduous_forest S
ind211_h2 deciduous_forest S
ind212_h1 coastal_savannah M
ind212_h2 coastal_savannah M
ind213_h1 coastal_savannah S
ind213_h2 coastal_savannah S
ind214_h1 mangrove_swamp M
ind214_h2 mangrove_swamp M
ind215_h1 mangrove_swamp M
ind215_h2 mangrove_swamp M
ind216_h1 mangrove_swamp M
ind216_h2 mangrove_swamp M
ind217_h1 mangrove_swamp M
ind217_h2 mangrove_swamp M
ind218_h1 coastal_savannah S
ind218_h2 coastal_savannah S
ind219_h1 rainforest S
ind219_h2 rainforest S
ind220_h1 mangrove_swamp M
ind220_h2 mangrove_swamp M
ind221_h1 mangrove_swamp M
ind221_h2 mangrove_swamp M
ind222_h1 mangrove_swamp M
ind222_h2 mangrove_swamp M
ind223_h1 deciduous_forest S
ind223_h2 deciduous_forest S
ind224_h1 deciduous_forest S
ind224_h2 deciduous_forest S
ind225_h1 coastal_savannah S
ind225_h2 coastal_savannah S
ind226_h1 deciduous_forest S
ind226_h2 deciduous_forest S
ind227_h1 deciduous_forest S
ind227_h2 deciduous_forest S
ind228_h1 deciduous_forest M
ind228_h2 deciduous_forest M
ind229_h1 coastal_savannah S
ind229_h2 coastal_savannah S
ind230_h1 deciduous_forest S
ind230_h2 deciduous_forest S
ind231_h1 mangrove_swamp M
ind231_h2 mangrove_swamp M
ind232_h1 deciduous_forest S
ind232_h2 deciduous_forest S
ind233_h1 mangrove_swamp M
ind233_h2 mangrove_swamp M
ind234_h1 coastal_savannah S
ind234_h2 coastal_savannah S
ind235_h1 mangrove_swamp M
ind235_h2 mangrove_swamp M
ind236_h1 mangrove_swamp M
ind236_h2 mangrove_swamp M
ind237_h1 deciduous_forest S
ind237_h2 deciduous_forest S
ind238_h1 deciduous_forest S
ind238_h2 deciduous_forest S
ind239_h1 deciduous_forest S
ind239_h2 deciduous_forest S
ind240_h1 deciduous_forest M
ind240_h2 deciduous_forest M
ind241_h1 deciduous_forest M
ind241_h2 deciduous_forest M
ind242_h1 rainforest M
ind242_h2 rainforest M
ind243_h1 deciduous_forest S
ind243_h2 deciduous_forest S
ind244_h1 deciduous_forest S
ind244_h2 deciduous_forest S
ind245_h1 deciduous_forest S
ind245_h2 deciduous_forest S
ind246_h1 deciduous_forest M
ind246_h2 deciduous_forest M
ind247_h1 deciduous_forest M
ind247_h2 deciduous_forest M
ind248_h1 coastal_savannah M
ind248_h2 coastal_savannah M
ind249_h1 deciduous_forest S
ind249_h2 deciduous_forest S
ind250_h1 deciduous_forest S
ind250_h2 deciduous_forest S
ind251_h1 coastal_savannah S
ind251_h2 coastal_savannah S
ind252_h1 deciduous_forest S
ind252_h2 deciduous_forest S
ind253_h1 mangrove_swamp M
ind253_h2 mangrove_swamp M
ind254_h1 deciduous_forest S
ind254_h2 deciduous_forest S
ind255_h1 rainforest M
ind255_h2 rainforest M
ind256_h1 mangrove_swamp M
ind256_h2 mangrove_swamp M
ind257_h1 rainforest M
ind257_h2 rainforest M
ind258_h1 deciduous_forest S
ind258_h2 deciduous_forest S
ind259_h1 rainforest M
ind259_h2 rainforest M
ind260_h1 coastal_savannah M
ind260_h2 coastal_savannah M
ind261_h1 rainforest M
ind261_h2 rainforest M
ind262_h1 coastal_savannah M
