indid hapid habitat Form Site
ind249_h2 h2 deciduous_forest S "Agona Dunkwa"
ind250_h2 h2 deciduous_forest S Dodowa
ind251_h2 h2 coastal_savannah S Akatsi
ind252_h2 h2 deciduous_forest S Asikumah
ind253_h2 h2 mangrove_swamp M Anloga
ind254_h2 h2 deciduous_forest S Asikumah
ind255_h2 h2 rainforest M Asankrangwa
ind256_h2 h2 mangrove_swamp M Komenda
ind257_h2 h2 rainforest M "Twifo Praso"
ind258_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind259_h2 h2 rainforest M Asankrangwa
ind260_h2 h2 coastal_savannah M Ashaiman
ind261_h2 h2 rainforest M "Wassa Essaman"
ind262_h2 h2 coastal_savannah M Ashaiman
ind263_h2 h2 coastal_savannah M Ashaiman
ind264_h2 h2 deciduous_forest S Asikumah
ind265_h2 h2 deciduous_forest M Nsawan
ind266_h2 h2 deciduous_forest S Koforidua
ind267_h2 h2 coastal_savannah M Ashaiman
ind268_h2 h2 coastal_savannah M Dzorwulu
ind269_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind270_h2 h2 rainforest M Axim
ind271_h2 h2 rainforest M Axim
ind272_h2 h2 rainforest M Tarkwa
ind273_h2 h2 rainforest M Axim
ind274_h2 h2 rainforest M Bogoso
ind275_h2 h2 mangrove_swamp M "Ada Foah"
ind276_h2 h2 rainforest M Axim
ind277_h2 h2 rainforest M Bogoso
ind278_h2 h2 rainforest M Bogoso
ind279_h2 h2 rainforest S Bogoso
ind280_h2 h2 rainforest M Bogoso
ind281_h2 h2 rainforest S Bogoso
ind282_h2 h2 rainforest M Bogoso
ind283_h2 h2 rainforest M Bogoso
ind284_h2 h2 rainforest S Bogoso
ind285_h2 h2 rainforest S Bogoso
ind286_h2 h2 rainforest M Axim
ind287_h2 h2 rainforest S Bogoso
ind288_h2 h2 rainforest M Tarkwa
ind289_h2 h2 deciduous_forest S Dodowa
ind290_h2 h2 coastal_savannah S Tuba
ind291_h2 h2 deciduous_forest S Dodowa
ind292_h2 h2 coastal_savannah M Dzorwulu
ind293_h2 h2 coastal_savannah S Dzorwulu
ind294_h2 h2 deciduous_forest S Nsawan
ind295_h2 h2 coastal_savannah S Dzorwulu
ind296_h2 h2 coastal_savannah M Takoradi
ind297_h2 h2 coastal_savannah S Dzorwulu
ind298_h2 h2 coastal_savannah M Dzorwulu
ind299_h2 h2 deciduous_forest S Dunkwa-on-Offin
ind300_h2 h2 coastal_savannah S Dzorwulu
ind301_h2 h2 rainforest S Enchi
ind302_h2 h2 rainforest S Enchi
ind303_h2 h2 rainforest S Bogoso
ind304_h2 h2 rainforest S Enchi
ind305_h2 h2 deciduous_forest S Suhum
ind306_h2 h2 rainforest M Enchi
ind307_h2 h2 rainforest S Enchi
ind308_h2 h2 rainforest S Enchi
ind309_h2 h2 rainforest M Enchi
ind310_h2 h2 coastal_savannah S Half-Assini
ind311_h2 h2 coastal_savannah S Half-Assini
ind312_h2 h2 coastal_savannah S Half-Assini
ind313_h2 h2 coastal_savannah S Half-Assini
