Node label	Matching Sequences
	85-DW-Sha2_h2
	86-DW-Sha3_h2
	87-DW-Sha4_h1
	88-DW-Sha6_h1
	88-DW-Sha6_h2
	90-DW-Sha14_h1
	91-DW-Kom2_h1
	91-DW-Kom2_h2
	93-DW-Kom4_h2
	94-DW-Kom12_h1
	95-DW-Kom13_h1
	95-DW-Kom13_h2
	96-DW-Kom14_h1
	96-DW-Kom14_h2
	DW-AF11_h2
	DW-AF19_h1
	DW-AF19_h2
	DW-AF26_h2
	DW-AF6_h1
	DW-AF6_h2
	DW-AF8_h1
	DW-AF8_h2
	DW-AF9_h1
	DW-Asa11_h1
	DW-Asa12_h1
	DW-Asa12_h2
	DW-Asa14_h2
	DW-Asa5_h1
	DW-Asa9_h1
	DW-Ash12_h2
	DW-Asi13_h1
	DW-Asi13_h2
	DW-Axi13_h1
	DW-Axi14_h1
	DW-Axi14_h2
	DW-Axi15_h1
	DW-Axi15_h2
	DW-Axi16_h1
	DW-Axi16_h2
	DW-Axi2_h1
	DW-Axi2_h2
	DW-Axi3_h2
	DW-Axi4_h1
	DW-Bog10_h2
	DW-Bog11_h1
	DW-Bog11_h2
	DW-Bog16_h1
	DW-Bog16_h2
	DW-Bog1_h1
	DW-Bog1_h2
	DW-Bog23_h1
	DW-Bog23_h2
	DW-Bog9_h1
	DW-Bog9_h2
	DW-Dzo10_h2
	DW-Dzo14_h2
	DW-Dzo16_h1
	DW-Dzo16_h2
	DW-Dzo7_h1
	DW-Dzo7_h2
	DW-Enc12_h1
	DW-Enc12_h2
	DW-Enc17_h1
	DW-Enc20_h1
	DW-Enc20_h2
	DW-Enc21_h2
	DW-Enc22_h1
	DW-Enc22_h2
	DW-Enc3_h1
	DW-Enc7_h1
	DW-Enc7_h2
	DW-Enc9_h1
	DW-Enc9_h2
	DW-Mam15_h1
	DW-Mam15_h2
	DW-Mam2_h1
	DW-Mam9_h1
	DW-Man10_h1
	DW-Man10_h2
	DW-Man12_h2
	DW-Man4_h2
	DW-Man5_h1
	DW-Man5_h2
	DW-Man7_h1
	DW-Man7_h2
	DW-Man9_h1
	DW-Man9_h2
	DW-Nsa13_h2
	DW-Nsa15_h1
	DW-Nsa15_h2
	DW-Nsa16_h2
	DW-Nsa17_h1
	DW-Nsa17_h2
	DW-Nsa18_h1
	DW-Nsa18_h2
	DW-Nsa1_h1
	DW-Nsa3_h1
	DW-Nsa3_h2
	DW-Nsa8_h1
	DW-Nsa8_h2
DW-Dzo3_h2	DW-Dzo3_h2
	DW-Mam6_h2
14-DW-Tar10_h2	14-DW-Tar10_h2
	15-DW-Tar11_h1
	177-DW-NeA-20_h1
	19-DW-Tak3_h1
	61-DW-WE27_h2
	85-DW-Sha2_h1
	93-DW-Kom4_h1
	DW-AF26_h1
	DW-Ash13_h2
	DW-Bog18_h1
	DW-Dzo2_h1
	DW-Dzo4_h2
	DW-Enc21_h1
	DW-Mam10_h1
139-DW-NeA-87_h1	139-DW-NeA-87_h1
	190-DW-Sha16_h2
	19-DW-Tak3_h2
	24-DW-Tak8_h1
	32-DW-Tub8_h2
	42-DW-TP5_h1
	45-DW-TP9_h1
176-DW-NeA-17_h2	176-DW-NeA-17_h2
	9-DW-Tar2_h1
	DW-Dzo10_h1
182-DW-NeA-6_h2	182-DW-NeA-6_h2
	187-DW-NeA-18_h1
	35-DW-Tub11_h1
17-DW-Tak1_h2	17-DW-Tak1_h2
	DW-Bog14_h2
DW-AdF10_h2	DW-AdF10_h2
	DW-AdF19_h1
	DW-Ash13_h1
	DW-Dzo2_h2
1-DW-Suh2_h1	1-DW-Suh2_h1
	DW-Asa9_h2
	DW-HA9_h2
123-DW-AnB-8_h1	123-DW-AnB-8_h1
	169-DW-DoM-54_h1
	17-DW-Tak1_h1
138-DW-NeA-84_h2	138-DW-NeA-84_h2
	DW-Asa11_h2
107-DW-OBP1-12_h2	107-DW-OBP1-12_h2
	108-DW-OBP1-13_h2
	145-DW-NeA-54_h2
	180-DW-NeA-4_h1
	73-DW-Mad58_h2
	79-DW-Mad64_h2
	97-DW-OBP1-1_h1
	DW-Aka23_h1
	DW-Enc16_h2
	DW-Enc2_h2
	DW-Nkw3_h2
191-DW-Kom6_h2	191-DW-Kom6_h2
	54-DW-WE7_h2
	5-DW-Suh12_h1
	DW-Asi4_h1
	DW-Bog13_h2
	DW-Dzo15_h1
	DW-Dzo1_h2
	DW-Kof10_h2
	DW-Kof12_h1
	DW-Kof19_h2
	DW-Nkw8_h1
12-DW-Tar7_h2	12-DW-Tar7_h2
	160-DW-DoM-5_h1
	165-DW-DoM-50_h2
	23-DW-Tak7_h1
	32-DW-Tub8_h1
	41-DW-TP4_h1
	47-DW-TP11_h2
	48-DW-TP15_h2
	53-DW-WE6_h2
	86-DW-Sha3_h1
	87-DW-Sha4_h2
	90-DW-Sha14_h2
	DW-AF22_h1
	DW-AF9_h2
	DW-Asa14_h1
	DW-Axi13_h2
	DW-Axi3_h1
	DW-Axi4_h2
	DW-Bog10_h1
	DW-Bog18_h2
	DW-Enc3_h2
	DW-Man4_h1
	DW-Nsa16_h1
	DW-Nsa1_h2
11-DW-Tar6_h2	11-DW-Tar6_h2
	164-DW-DoM-49_h1
	178-DW-NeA-23_h1
127-DW-AnB-12_h2	127-DW-AnB-12_h2
	185-DW-NeA-14_h2
	72-DW-Mad57_h2
	79-DW-Mad64_h1
	84-DW-Mad69_h2
	DW-AF17_h2
	DW-AgD5_h1
	DW-Aka23_h2
	DW-Bog12_h1
	DW-Dod2_h2
	DW-Dod7_h2
	DW-Dod8_h2
	DW-Dzo1_h1
75-DW-Mad60_h2	75-DW-Mad60_h2
	82-DW-Mad67_h2
	83-DW-Mad68_h1
	DW-HA2_h1
	DW-HA2_h2
	DW-HA4_h1
	DW-Nsa11_h1
109-DW-OBP1-14_h2	109-DW-OBP1-14_h2
	DW-HA4_h2
66-DW-Mad50_h1	66-DW-Mad50_h1
	7-DW-Suh19_h1
DW-Aka22_h1	DW-Aka22_h1
	DW-HA5_h1
Node label	Matching Sequences
DW-AdF10_h1	DW-AdF10_h1
	DW-AdF11_h1
	DW-AdF17_h1
	DW-AdF19_h2
	DW-AdF1_h1
	DW-AdF3_h1
	DW-AdF3_h2
	DW-Anl17_h1
	DW-Ash26_h1
	DW-Ash6_h2
	DW-Ash8_h2
	DW-Ash9_h1
	DW-Mam4_h1
	DW-Mam6_h1
26-DW-Tub2_h1	26-DW-Tub2_h1
	DW-Ash6_h1
	DW-Dzo3_h1
	DW-Dzo8_h2
	DW-Mam10_h2
DW-Ash26_h2	DW-Ash26_h2
	DW-Mam16_h1
DW-Axi1_h2	DW-Axi1_h2
	DW-Enc19_h1
134-DW-NeA-66_h1	134-DW-NeA-66_h1
	134-DW-NeA-66_h2
	173-DW-NeA-11_h2
	44-DW-TP7_h1
	66-DW-Mad50_h2
	74-DW-Mad59_h1
	DW-Aka22_h2
	DW-Dod9_h1
	DW-Enc17_h2
	DW-HA6_h2
	DW-HA9_h1
10-DW-Tar5_h1	10-DW-Tar5_h1
	135-DW-NeA-79_h1
	174-DW-NeA-12_h2
	37-DW-Tub14_h2
	92-DW-Kom3_h1
	DW-Mam9_h2
145-DW-NeA-54_h1	145-DW-NeA-54_h1
	DW-Aka15_h2
65-DW-Mad49_h1	65-DW-Mad49_h1
	DW-Asi2_h1
	DW-HA5_h2
	DW-HA7_h2
30-DW-Tub6_h2	30-DW-Tub6_h2
	36-DW-Tub12_h2
	DW-Asi3_h2
146-DW-NeA-55_h2	146-DW-NeA-55_h2
	53-DW-WE6_h1
	54-DW-WE7_h1
	DW-AF5_h1
	DW-Dzo14_h1
	DW-Mam16_h2
DW-Bog6_h2	DW-Bog6_h2
	DW-Kof23_h1
187-DW-NeA-18_h2	187-DW-NeA-18_h2
	DW-Asi3_h1
	DW-Enc18_h2
100-DW-OBP1-4_h1	100-DW-OBP1-4_h1
	101-DW-OBP1-5_h1
	101-DW-OBP1-5_h2
	102-DW-OBP1-6_h1
	102-DW-OBP1-6_h2
	105-DW-OBP1-9_h1
	106-DW-OBP1-10_h1
	106-DW-OBP1-10_h2
	107-DW-OBP1-12_h1
	108-DW-OBP1-13_h1
	110-DW-OBP1-16_h1
	110-DW-OBP1-16_h2
	112-DW-OBP1-18_h2
	113-DW-OBP1-19_h1
	113-DW-OBP1-19_h2
	114-DW-OBP1-20_h1
	114-DW-OBP1-20_h2
	116-DW-AnB-1_h1
	119-DW-AnB-4_h1
	127-DW-AnB-12_h1
	131-DW-AnB-16_h1
	141-DW-NeA-50_h2
	142-DW-NeA-51_h2
	182-DW-NeA-6_h1
	183-DW-NeA-9_h1
	2-DW-Suh5_h2
	35-DW-Tub11_h2
	36-DW-Tub12_h1
	3-DW-Suh7_h2
	40-DW-Tub17_h2
	49-DW-WE1_h2
	4-DW-Suh11_h1
	55-DW-WE8_h2
	68-DW-Mad53_h2
	69-DW-Mad54_h1
	6-DW-Suh18_h1
	70-DW-Mad55_h1
	70-DW-Mad55_h2
	71-DW-Mad56_h1
	74-DW-Mad59_h2
	76-DW-Mad61_h2
	78-DW-Mad63_h1
	78-DW-Mad63_h2
	97-DW-OBP1-1_h2
	98-DW-OBP1-2_h2
	99-DW-OBP1-3_h1
	99-DW-OBP1-3_h2
	DW-AF23_h2
	DW-AF2_h2
	DW-AF3_h2
	DW-AF4_h1
	DW-AgD37_h1
	DW-Aka15_h1
	DW-Asi9_h2
	DW-Bog15_h1
	DW-Dod11_h1
